Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
10400000000.0000	  -0.6965	  -0.0230	  -0.4228	  -0.0337	  -0.4265	  -0.0268	   0.4794	   0.5068
10480000000.0000	  -0.6961	  -0.0182	  -0.4237	  -0.0235	  -0.4259	  -0.0180	   0.4893	   0.4944
10560000000.0000	  -0.6913	  -0.0111	  -0.4214	  -0.0147	  -0.4265	  -0.0090	   0.4974	   0.4819
10640000000.0000	  -0.6877	  -0.0125	  -0.4211	  -0.0084	  -0.4265	  -0.0011	   0.5051	   0.4692
10720000000.0000	  -0.6885	  -0.0134	  -0.4225	  -0.0003	  -0.4248	   0.0075	   0.5137	   0.4552
10800000000.0000	  -0.6843	  -0.0065	  -0.4221	   0.0100	  -0.4239	   0.0165	   0.5216	   0.4428
10880000000.0000	  -0.6781	  -0.0025	  -0.4205	   0.0175	  -0.4238	   0.0243	   0.5282	   0.4298
10960000000.0000	  -0.6776	  -0.0050	  -0.4202	   0.0253	  -0.4233	   0.0322	   0.5348	   0.4163
11040000000.0000	  -0.6774	  -0.0015	  -0.4192	   0.0344	  -0.4213	   0.0414	   0.5420	   0.4025
11120000000.0000	  -0.6719	   0.0053	  -0.4179	   0.0420	  -0.4198	   0.0507	   0.5471	   0.3895
11200000000.0000	  -0.6665	   0.0045	  -0.4181	   0.0497	  -0.4184	   0.0585	   0.5528	   0.3772
11280000000.0000	  -0.6672	   0.0044	  -0.4168	   0.0597	  -0.4168	   0.0658	   0.5582	   0.3630
11360000000.0000	  -0.6660	   0.0091	  -0.4136	   0.0689	  -0.4145	   0.0748	   0.5635	   0.3489
11440000000.0000	  -0.6583	   0.0125	  -0.4118	   0.0751	  -0.4130	   0.0838	   0.5674	   0.3360
11520000000.0000	  -0.6563	   0.0102	  -0.4117	   0.0828	  -0.4105	   0.0918	   0.5711	   0.3234
11600000000.0000	  -0.6577	   0.0109	  -0.4095	   0.0933	  -0.4077	   0.0991	   0.5760	   0.3094
