Sample holder length =	6.9500e-003 meters
Sample thickness =	4.7400e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
10640000000.0000	  -0.3959	   0.3379	  -0.6889	  -0.2480	  -0.6934	  -0.2467	   0.0186	   0.5206
10720000000.0000	  -0.3872	   0.3360	  -0.7000	  -0.2359	  -0.7000	  -0.2332	   0.0308	   0.5131
10800000000.0000	  -0.3779	   0.3368	  -0.7083	  -0.2191	  -0.7082	  -0.2187	   0.0399	   0.5066
10880000000.0000	  -0.3670	   0.3409	  -0.7136	  -0.2051	  -0.7174	  -0.2040	   0.0484	   0.4969
10960000000.0000	  -0.3561	   0.3393	  -0.7234	  -0.1921	  -0.7260	  -0.1892	   0.0586	   0.4861
11040000000.0000	  -0.3474	   0.3369	  -0.7334	  -0.1749	  -0.7323	  -0.1730	   0.0690	   0.4771
11120000000.0000	  -0.3373	   0.3385	  -0.7374	  -0.1573	  -0.7390	  -0.1562	   0.0753	   0.4673
11200000000.0000	  -0.3228	   0.3374	  -0.7437	  -0.1428	  -0.7469	  -0.1399	   0.0818	   0.4562
11280000000.0000	  -0.3129	   0.3326	  -0.7543	  -0.1257	  -0.7540	  -0.1234	   0.0907	   0.4439
11360000000.0000	  -0.3058	   0.3300	  -0.7598	  -0.1060	  -0.7588	  -0.1048	   0.0980	   0.4332
11440000000.0000	  -0.2924	   0.3293	  -0.7620	  -0.0887	  -0.7641	  -0.0862	   0.1021	   0.4229
11520000000.0000	  -0.2800	   0.3238	  -0.7684	  -0.0723	  -0.7692	  -0.0683	   0.1069	   0.4103
11600000000.0000	  -0.2733	   0.3169	  -0.7756	  -0.0518	  -0.7740	  -0.0506	   0.1140	   0.3974
11680000000.0000	  -0.2642	   0.3151	  -0.7777	  -0.0319	  -0.7773	  -0.0308	   0.1179	   0.3865
11760000000.0000	  -0.2508	   0.3098	  -0.7797	  -0.0144	  -0.7810	  -0.0107	   0.1199	   0.3744
11840000000.0000	  -0.2415	   0.3003	  -0.7842	   0.0055	  -0.7839	   0.0085	   0.1225	   0.3611
11920000000.0000	  -0.2366	   0.2954	  -0.7875	   0.0265	  -0.7854	   0.0268	   0.1266	   0.3482
12000000000.0000	  -0.2256	   0.2905	  -0.7873	   0.0461	  -0.7870	   0.0479	   0.1273	   0.3369
12080000000.0000	  -0.2141	   0.2803	  -0.7881	   0.0657	  -0.7882	   0.0688	   0.1266	   0.3249
12160000000.0000	  -0.2086	   0.2711	  -0.7894	   0.0868	  -0.7885	   0.0891	   0.1270	   0.3107
12240000000.0000	  -0.2016	   0.2651	  -0.7884	   0.1075	  -0.7875	   0.1086	   0.1271	   0.2991
12320000000.0000	  -0.1889	   0.2570	  -0.7875	   0.1278	  -0.7866	   0.1299	   0.1251	   0.2883
12400000000.0000	  -0.1828	   0.2446	  -0.7867	   0.1496	  -0.7852	   0.1512	   0.1220	   0.2757
12480000000.0000	  -0.1784	   0.2365	  -0.7834	   0.1715	  -0.7830	   0.1719	   0.1194	   0.2636
12560000000.0000	  -0.1693	   0.2300	  -0.7784	   0.1917	  -0.7786	   0.1928	   0.1175	   0.2530
12640000000.0000	  -0.1599	   0.2181	  -0.7754	   0.2120	  -0.7745	   0.2139	   0.1131	   0.2429
12720000000.0000	  -0.1568	   0.2061	  -0.7718	   0.2338	  -0.7707	   0.2345	   0.1071	   0.2325
12800000000.0000	  -0.1548	   0.1997	  -0.7650	   0.2552	  -0.7652	   0.2552	   0.1039	   0.2213
12880000000.0000	  -0.1453	   0.1894	  -0.7575	   0.2748	  -0.7583	   0.2761	   0.0981	   0.2126
12960000000.0000	  -0.1392	   0.1753	  -0.7519	   0.2945	  -0.7512	   0.2962	   0.0906	   0.2043
13040000000.0000	  -0.1406	   0.1659	  -0.7454	   0.3161	  -0.7442	   0.3161	   0.0844	   0.1952
13120000000.0000	  -0.1376	   0.1582	  -0.7353	   0.3364	  -0.7362	   0.3360	   0.0777	   0.1867
13200000000.0000	  -0.1303	   0.1459	  -0.7253	   0.3558	  -0.7267	   0.3564	   0.0701	   0.1799
13280000000.0000	  -0.1306	   0.1303	  -0.7172	   0.3736	  -0.7168	   0.3756	   0.0610	   0.1734
13360000000.0000	  -0.1332	   0.1217	  -0.7076	   0.3934	  -0.7066	   0.3940	   0.0523	   0.1662
13440000000.0000	  -0.1283	   0.1137	  -0.6951	   0.4121	  -0.6956	   0.4123	   0.0442	   0.1604
13520000000.0000	  -0.1247	   0.0971	  -0.6834	   0.4305	  -0.6840	   0.4314	   0.0350	   0.1567
13600000000.0000	  -0.1290	   0.0837	  -0.6721	   0.4478	  -0.6717	   0.4494	   0.0245	   0.1527
13680000000.0000	  -0.1310	   0.0798	  -0.6590	   0.4647	  -0.6587	   0.4663	   0.0164	   0.1478
13760000000.0000	  -0.1252	   0.0676	  -0.6448	   0.4811	  -0.6452	   0.4822	   0.0067	   0.1449
13840000000.0000	  -0.1272	   0.0494	  -0.6315	   0.4982	  -0.6319	   0.4993	  -0.0032	   0.1439
13920000000.0000	  -0.1371	   0.0431	  -0.6175	   0.5142	  -0.6173	   0.5151	  -0.0138	   0.1406
14000000000.0000	  -0.1338	   0.0404	  -0.6008	   0.5288	  -0.6023	   0.5309	  -0.0229	   0.1389
14080000000.0000	  -0.1316	   0.0227	  -0.5859	   0.5426	  -0.5857	   0.5441	  -0.0328	   0.1395
14160000000.0000	  -0.1453	   0.0082	  -0.5713	   0.5579	  -0.5714	   0.5583	  -0.0445	   0.1404
14240000000.0000	  -0.1518	   0.0087	  -0.5550	   0.5720	  -0.5558	   0.5717	  -0.0544	   0.1400
14320000000.0000	  -0.1441	  -0.0008	  -0.5359	   0.5826	  -0.5393	   0.5857	  -0.0636	   0.1418
14400000000.0000	  -0.1528	  -0.0223	  -0.5212	   0.5945	  -0.5209	   0.5967	  -0.0734	   0.1449
14480000000.0000	  -0.1704	  -0.0242	  -0.5055	   0.6090	  -0.5050	   0.6080	  -0.0846	   0.1471
14560000000.0000	  -0.1673	  -0.0232	  -0.4872	   0.6200	  -0.4881	   0.6178	  -0.0938	   0.1500
14640000000.0000	  -0.1651	  -0.0444	  -0.4665	   0.6286	  -0.4715	   0.6300	  -0.1010	   0.1548
14720000000.0000	  -0.1867	  -0.0573	  -0.4526	   0.6378	  -0.4532	   0.6399	  -0.1101	   0.1604
14800000000.0000	  -0.1967	  -0.0488	  -0.4354	   0.6496	  -0.4357	   0.6486	  -0.1205	   0.1646
